,datesold,price_1_unit,price_2_house,price_2_unit,price_3_house,price_3_unit,price_4_house,price_5_house
1076,2010-01-18,379000.0,350000.0,526040.0,422120.0,2215285.714285714,580000.0,560012.1212121212
1077,2010-01-19,376818.1818181818,344375.0,583020.0,410400.0,2267714.2857142854,585000.0,555015.1515151515
1078,2010-01-20,374636.36363636365,338750.0,640000.0,385000.0,2320142.8571428573,590000.0,550018.1818181818
1079,2010-01-21,372454.54545454547,333125.0,622192.3076923077,455000.0,2372571.428571428,636000.0,545021.2121212122
1080,2010-01-22,370272.7272727273,327500.0,604384.6153846154,525000.0,2425000.0,682000.0,540024.2424242424
1081,2010-01-23,368090.9090909091,362894.7368421053,586576.9230769231,595000.0,2169285.714285714,607166.6666666666,535027.2727272727
1082,2010-01-24,365909.0909090909,398289.47368421056,568769.2307692308,665000.0,1913571.4285714286,532333.3333333334,530030.303030303
1083,2010-01-25,363727.2727272727,433684.2105263158,550961.5384615385,735000.0,1657857.1428571427,457500.0,525033.3333333334
1084,2010-01-26,361545.45454545453,469078.94736842107,533153.8461538461,569166.6666666666,1402142.8571428573,525125.0,520036.36363636365
1085,2010-01-27,359363.63636363635,504473.6842105263,515346.1538461539,403333.3333333333,1146428.5714285714,592750.0,515039.3939393939
1086,2010-01-28,357181.8181818182,539868.4210526316,497538.4615384615,365000.0,890714.2857142857,617500.0,510042.42424242425
1087,2010-01-29,355000.0,575263.1578947369,479730.76923076925,525666.6666666666,635000.0,530000.0,505045.45454545453
1088,2010-01-30,337333.3333333333,610657.8947368421,461923.07692307694,360000.0,587500.0,628000.0,500048.48484848486
1089,2010-01-31,319666.6666666667,646052.6315789474,444115.3846153846,426666.6666666666,540000.0,604000.0,495051.51515151514
1090,2010-02-01,302000.0,681447.3684210526,426307.6923076923,493333.3333333333,492500.0,580000.0,490054.54545454547
1091,2010-02-02,284333.3333333333,716842.105263158,408500.0,373500.0,445000.0,539375.0,485057.57575757575
1092,2010-02-03,266666.6666666666,752236.8421052631,412333.3333333333,440833.3333333333,445318.1818181818,498750.0,480060.6060606061
1093,2010-02-04,249000.0,787631.5789473684,416166.6666666667,508166.6666666666,445636.36363636365,671666.6666666666,475063.63636363635
1094,2010-02-05,251228.57142857142,823026.3157894737,420000.0,575500.0,445954.54545454547,480000.0,470066.6666666666
1095,2010-02-06,253457.14285714287,858421.052631579,424000.0,719000.0,446272.7272727273,585000.0,465069.69696969696
1096,2010-02-07,255685.7142857143,893815.7894736843,428000.0,573750.0,446590.9090909091,675000.0,460072.7272727273
1097,2010-02-08,257914.2857142857,929210.5263157894,432000.0,428500.0,446909.0909090909,685000.0,455075.75757575757
1098,2010-02-09,260142.85714285713,964605.2631578947,436000.0,440666.6666666667,447227.2727272727,695000.0,450078.78787878784
1099,2010-02-10,262371.4285714286,1000000.0,404000.0,452833.3333333333,447545.45454545453,593000.0,445081.8181818182
